"Rank","Country","U.S. equivalents","GDP (Billions of ) GDP (Billions of ) int$"
"11","Italy","Texas                    Texas                    Texas                    TexasNew Jersey                    Texas                    Texas                    Texas                    TexasNew Jersey                    Texas                    Texas                    Texas                    TexasNew Jersey                    Texas                    Texas                    Texas                    TexasNew JerseyVermont","2,311"
"12","Turkey","Texas            Texas            Texas            TexasMichigan","2,173"
"13","South Korea","Texas            Texas            Texas            TexasColorado","2,029"
"14","Spain","Texas            Texas            Texas            TexasWest Virginia","1,774"
"15","Saudi Arabia","Texas            Texas            Texas            TexasWest Virginia","1,774"
"16","Canada","Texas            Texas            Texas            TexasWest Virginia","1,769"
"17","Iran","New York            New York            New York            New YorkNew Mexico","1,645"
"18","Australia","Florida            Florida            Florida            FloridaUtah","1,247"
"19","Thailand","Florida            Florida            Florida            FloridaNevada","1,234"
"20","Egypt","Florida            Florida            Florida            FloridaMississippi","1,201"
"21","Taiwan","Florida            Florida            Florida            FloridaMississippi","1,186"
"22","Poland","Florida            Florida            Florida            FloridaMississippi","1,121"
"23","Nigeria","Florida            Florida            Florida            FloridaMississippi","1,119"
"24","Pakistan","Florida","1,057"
"25","Malaysia","Illinois            Illinois            Illinois            IllinoisMississippi","931"
"26","Argentina","Illinois            Illinois            Illinois            IllinoisNew Mexico","920"
"27","Netherlands","Illinois            Illinois            Illinois            IllinoisNew Mexico","916"
"28","Philippines","Illinois            Illinois            Illinois            IllinoisNorth Dakota","876"
"29","South Africa","Ohio            Ohio            Ohio            OhioMississippi","766"
"30","Colombia","Ohio            Ohio            Ohio            OhioMaine","714"
"31","Bangladesh","Ohio            Ohio            Ohio            OhioWyoming","687"
"32","UAE","Ohio            Ohio            Ohio            OhioWyoming","687"
"33","Iraq","Ohio","659"
"34","Vietnam","New Jersey            New Jersey            New Jersey            New JerseyWyoming","647"
"35","Algeria","North Carolina","633"
"36","Belgium","Massachusetts","529"
"37","Singapore","Massachusetts","527"
"38","Sweden","Virginia","521"
"39","Switzerland","Virginia","517"
"40","Romania","Maryland            Maryland            Maryland            MarylandHawaii","482"
"41","Kazakhstan","Maryland            Maryland            Maryland            MarylandNew Hampshire","478"
"42","Hong Kong","Maryland            Maryland            Maryland            MarylandMaine","455"
"—","Chile","Maryland            Maryland            Maryland            MarylandMaine","451"
"43","Austria","Maryland            Maryland            Maryland            MarylandSouth Dakota","440"
"44","Peru","Indiana            Indiana            Indiana            IndianaMaine","424"
"45","Venezuela","Indiana","381"
"46","Norway","Indiana","381"
"47","Czech Republic","Indiana","376"
"48","Ukraine","Indiana","369"
"49","Qatar","Tennessee","348"
"50","Ireland","Colorado","344"
