"Date","Nation","Name","Asian First","World achievements"
"(now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union (now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union(now under ) (now under )  (now under ) (now under )  Soviet Union Kazakhstan","Baikonur Cosmodrome","Satellite    Satellitelaunch pad","The first satellite, , was launched. The first satellite, , was launched. Sputnik 1"
"  Japan","Ohsumi","Satellite","The smallest satellite launch vehicle (; 9.4t weight, 1.4m diameter) The smallest satellite launch vehicle (; 9.4t weight, 1.4m diameter) L-4S"
"    Japan","Taiyo","Solar probe",""
"    China","-0 -0 FSW","Satellite recoverySatellite recovery[68]",""
